,MessageID,MessageType,MessageTimeLeft,MessageTimeReceived,MessageDelay,MessageRoute,MessageTarget,PrS1,PrS2,RealSender
547,0_60,Real,5.47855252048082,8.81475672794912,"[0.004537666102723046, 0.863241092239366, 1.0728449905460402, 1.4001181246828946, 0]","[Client id: 0, ( id: 2, corrupt: False ), ( id: 5, corrupt: False ), ( id: 7, corrupt: False ), Client id: 7]","[0.0010078834664145342, 0.002567085746924481, 0.0013111730287702957, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.10818288345525458,0.09383778504631601,0
548,3_78,Real,7.514959012131352,8.827020702591366,"[0.1713642925553156, 0.04336607728533319, 0.8157409883946759, 0.45295462478000376, 0]","[Client id: 3, ( id: 2, corrupt: False ), ( id: 5, corrupt: False ), ( id: 7, corrupt: False ), Client id: 5]","[0.0010078834664145342, 0.002567085746924481, 0.0013111730287702957, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.10818288345525458,0.09383778504631601,3
549,7_63,Real,6.889332226678433,8.827031384899293,"[0.03430492923637545, 0.7764038885435821, 0.8462318750978968, 0.3150633945793809, 0]","[Client id: 7, ( id: 2, corrupt: False ), ( id: 4, corrupt: False ), ( id: 8, corrupt: False ), Client id: 2]","[0.0008425856242585468, 0.002424518924569869, 0.0013962607007555977, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.1086702501058136,0.09191559463907155,7
550,4_50,Real,4.910133492803868,8.827316882798867,"[0.01032794431799329, 0.7695758524744917, 1.2537954527210418, 1.8938120847994653, 0]","[Client id: 4, ( id: 2, corrupt: False ), ( id: 5, corrupt: False ), ( id: 9, corrupt: False ), Client id: 6]","[0.0010814640154981356, 0.002726194142249034, 0.0013175508404171946, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.11320632718761967,0.0991241315677504,4
551,6_36,Real,3.9103205107105525,8.853219261592054,"[0.0009104802528676822, 2.9442651014734342, 1.2361592600194296, 0.7624743893886379, 0]","[Client id: 6, ( id: 2, corrupt: False ), ( id: 6, corrupt: False ), ( id: 9, corrupt: False ), Client id: 1]","[0.00099916516184137, 0.0026041481107644, 0.0015971427939482903, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.11475036451471538,0.09749406533158127,6
552,7_30,Real,3.5052222435226805,8.853228832868341,"[0.14977130883465548, 2.230636346911358, 2.763370488020579, 0.3539997544137243, 0]","[Client id: 7, ( id: 2, corrupt: False ), ( id: 6, corrupt: False ), ( id: 9, corrupt: False ), Client id: 4]","[0.00099916516184137, 0.0026041481107644, 0.0015971427939482903, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.11475036451471539,0.09749406533158127,7
553,9_60,Real,6.864070507410551,8.853416424102942,"[0.2602309547393645, 0.4800899636211924, 0.8522575181597869, 0.6569984349114123, 0]","[Client id: 9, ( id: 3, corrupt: False ), ( id: 6, corrupt: False ), ( id: 8, corrupt: False ), Client id: 5]","[0.0008425856242585468, 0.002424518924569869, 0.0013962607007555977, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.1086702501058136,0.09191559463907155,9
554,4_78,Real,7.392678530178079,8.878591568711197,"[0.0578473874408205, 0.2697807703619252, 1.0421275108904489, 0.17400475728074535, 0]","[Client id: 4, ( id: 1, corrupt: False ), ( id: 5, corrupt: False ), ( id: 7, corrupt: False ), Client id: 9]","[0.0009898934692755465, 0.0025682268687390437, 0.0014134744268594686, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.10778567326814348,0.09309734265712734,4
555,1_73,Real,6.9021531969183885,8.888459803086254,"[0.05436275400627075, 1.340864571758591, 0.2889290012459537, 0.35651303316332045, 0]","[Client id: 1, ( id: 3, corrupt: False ), ( id: 6, corrupt: False ), ( id: 7, corrupt: False ), Client id: 3]","[0.0009898934692755463, 0.0025682268687390437, 0.0014134744268594686, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.10778567326814349,0.09309734265712734,1
556,6_32,Real,3.494656323920744,8.894299148849313,"[0.060872145009295775, 0.6066694992898677, 3.390152766309963, 1.4028205593287382, 0]","[Client id: 6, ( id: 2, corrupt: False ), ( id: 5, corrupt: False ), ( id: 8, corrupt: False ), Client id: 4]","[0.0008384320934869829, 0.00242903382607291, 0.0014436270006049096, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.10846362385789686,0.0916090515445283,6
557,2_53,Real,5.4820554753062085,8.89786121392796,"[0.29523806849822537, 0.4742421705905831, 0.2522641091833363, 2.6892994588478336, 0]","[Client id: 2, ( id: 1, corrupt: False ), ( id: 6, corrupt: False ), ( id: 9, corrupt: False ), Client id: 3]","[0.00099916516184137, 0.0026041481107644, 0.00159714279394829, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.11475036451471539,0.09749406533158127,2
558,4_90,Real,8.074588801695844,8.901125427533042,"[0.029682571347770977, 0.04804201260509495, 0.7285144082757162, 0.049980204956388344, 0]","[Client id: 4, ( id: 1, corrupt: False ), ( id: 6, corrupt: False ), ( id: 9, corrupt: False ), Client id: 3]","[0.00099916516184137, 0.0026041481107644004, 0.00159714279394829, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.1147503645147154,0.09749406533158127,4
559,0_73,Real,7.375794180770026,8.942080178606089,"[0.1681733752843756, 0.3061639205705633, 1.0064137947546246, 0.2537082825108753, 0]","[Client id: 0, ( id: 3, corrupt: False ), ( id: 6, corrupt: False ), ( id: 8, corrupt: False ), Client id: 4]","[0.0008014430173081416, 0.0023786620926605074, 0.0016366681147470632, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.10943673844023868,0.09079693296964463,0
